id,symbol,name,price,market_cap,volume,pct_change_24h,timestamp
bitcoin,btc,Bitcoin,109457.0,2176518444626,32651103716,0.00153,2025-06-11 11:35:41.060674
ethereum,eth,Ethereum,2770.67,334431259478,34117714543,2.99029,2025-06-11 11:35:41.060674
tether,usdt,Tether,0.999968,155177578967,40802276908,-0.03208,2025-06-11 11:35:41.060674
binancecoin,bnb,BNB,672.2,98065811485,942829688,1.84405,2025-06-11 11:35:41.060674
solana,sol,Solana,166.14,87370792449,5091056795,4.84714,2025-06-11 11:35:41.060674
usd-coin,usdc,USDC,0.999768,60940431277,11817537507,-0.00242,2025-06-11 11:35:41.060674
dogecoin,doge,Dogecoin,0.201115,30121454267,1692627898,4.9862,2025-06-11 11:35:41.060674
cardano,ada,Cardano,0.718715,25940364910,805871440,3.43722,2025-06-11 11:35:41.060674
bitcoin,btc,Bitcoin,109268.0,2172213269177,32573692638,-0.10107,2025-06-11 11:52:20
ethereum,eth,Ethereum,2765.2,334104285806,34782833103,2.87986,2025-06-11 11:52:20
tether,usdt,Tether,0.999981,155178659381,26868212545,-0.02249,2025-06-11 11:52:20
binancecoin,bnb,BNB,671.23,97933973089,948083301,1.65947,2025-06-11 11:52:20
solana,sol,Solana,165.52,86913284922,6258472020,4.26877,2025-06-11 11:52:20
usd-coin,usdc,USDC,0.999763,60939327960,11999395493,-0.00294,2025-06-11 11:52:20
dogecoin,doge,Dogecoin,0.200227,29996676971,1695759147,4.38703,2025-06-11 11:52:20
cardano,ada,Cardano,0.715754,25848789085,806317799,3.22676,2025-06-11 11:52:20
bitcoin,btc,Bitcoin,109293.0,2171814650269,29052380214,-0.19818,2025-06-11 12:21:25
ethereum,eth,Ethereum,2764.87,333665085926,32381848813,2.64448,2025-06-11 12:21:25
tether,usdt,Tether,0.999952,155174822521,51697452609,-0.02893,2025-06-11 12:21:25
binancecoin,bnb,BNB,669.05,97538639817,644714972,1.26688,2025-06-11 12:21:25
solana,sol,Solana,164.8,86563266945,6286052919,3.60789,2025-06-11 12:21:25
usd-coin,usdc,USDC,0.999776,60939231095,11425704608,0.00357,2025-06-11 12:21:25
dogecoin,doge,Dogecoin,0.199953,29911460896,1670955815,4.12576,2025-06-11 12:21:25
cardano,ada,Cardano,0.716454,25864383189,813170675,3.29126,2025-06-11 12:21:25
bitcoin,btc,Bitcoin,109305.0,2172657897718,32555076166,-0.12638,2025-06-11 12:34:55
ethereum,eth,Ethereum,2767.99,334155701518,34785790310,2.88033,2025-06-11 12:34:55
tether,usdt,Tether,0.999954,155174480773,38889094691,-0.03023,2025-06-11 12:34:55
binancecoin,bnb,BNB,669.12,97604127323,961613852,1.28897,2025-06-11 12:34:55
solana,sol,Solana,164.92,86560235848,6305946334,3.71975,2025-06-11 12:34:55
usd-coin,usdc,USDC,0.999756,60937045924,11762341270,-0.00411,2025-06-11 12:34:55
dogecoin,doge,Dogecoin,0.200114,29948817756,1682219728,4.55467,2025-06-11 12:34:55
cardano,ada,Cardano,0.715651,25819786758,805600632,3.36254,2025-06-11 12:34:55
